Lebensmittelbezeichnung;Energie;Protein;Fett;Kohlenhydrate;Ballaststoffe
Kirsch-Streuselkuchen (Mürbeteig);257;3,39;12,42;31,9;1,7
Fleischbrühe mit Leberklößchen;29;2,43;1;2,5;0,2
Cheeseburger, doppelter;230;13,2;12,7;14,7;1,2
Pfifferlinge gedünstet, in Grundsauce hell/weiß mit Sahne;72;4,28;4,7;1,64;3,3
Champignons gedünstet, in Grundsauce hell/weiß mit Sahne;76;4,03;4,8;4;2
Thunfisch gebraten, in Weißweinsauce von heller/weißer Grundsauce;113;11,3;6,4;1,67;0,12
Speiseeis mit Fruchtzubereitung, überzogen mit Schokolade;248;2,5;11,43;32,3;1,8
Bambussprossen gedünstet (mit Fett und Salz);53;1,33;5,06;0,5;0,01
Jägersauce mit Wildpilzmischung/Pilzragout für Jägerschnitzel;120;4,5;8,9;3;5,83
Mokkacreme-Marzipan-Torte (Wasserbiskuit);282;5,1;15,4;29;1,61
Vanille-Milchkaltschale mit Ei und Fruchteinlage, gebunden mit Stärke;98;3,3;3,2;13,5;0,7
Vollkorneierteigwaren gekocht, gebacken;142;5,88;1,12;24,5;5,12
Kürbis gebacken, in Grundsauce hell/weiß mit Sahne;96;1,31;6,9;5,73;2,76
Rind/Schwein, Frikadelle, gebraten ohne Fett (Pfanne);210;15,33;14,1;5;0,6
Speiseeis (Frucht, Kaffee) gemischt, in Waffeltüte;172;2,8;6;26,1;0,6
Bratapfel gefüllt gebacken;160;0,9;6,8;22,1;2,3
Thunfischsteak gebraten mit Schinken;146;18,7;6,6;2,5;0,6
Mixed Pickles gesäuert, abgetropft;43;1,172;0,368;7,5;1,5
Kartoffel-Gemüsecremesuppe;50;0,99;2,2;6;0,9
Doppeldecker Burger;240;10,5;14,7;15,3;1,4
Kokosmakronen schokoliert;508;6;30,2;49,5;7,08
Eier-Frischteigwaren mit Kochschinkenwürfeln und Grundsauce hell/weiß;146;11,43;4,6;13,9;1,05
Joghurt fettarm, mind. 1,5 % bis max. 1,8 % Fett, mit Frucht-Getreidezubereitung, gesüßt;85;3,7;1,402;13,6;0,2
Wurstsalat bayerische Art mit warmer Essigmarinade;203;9,57;17,7;0,73;0,1
Rinderleber gebraten Berliner Art;127;10,35;5,3;8,9;0,9
Orangencremetorte (Wiener Boden dunkel) mit Schokosahne;251;3;14,3;26;1,1
Pflaume mit Süßungsmitteln, Konserve, abgetropft;22;0,24;0,141;4,52;1,1
Artischocken gekocht, mit Butter;94;2,736;5;3,07;12,281
Schweineroulade mit Sauerkrautfüllung geschmort, mit Sauce;136;14,73;6,6;2,99;1,5
Blutwürste erwärmt;307;13,284;28,004;0,33;0,1
Hefeplinsen mit Apfel, gebraten;280;6,13;13,16;33;2,3
Haferflockensuppe geröstet, mit Gemüsebrühe;36;1,14;1,8;3,3;1
Frankfurter Kranz (Sandmasse);357;3,7;20,8;38,2;0,5
Schleie paniert, frittiert;208;17,45;8,7;14,04;1,16
Schweineschnitzel paniert, gebraten;220;22,65;10,6;7,59;0,69
Eiskaffee;116;1,9;8,6;7,5;0,219
Mosaikumrandung;163;12,79;12,4;0,08;0,05
Rindfleisch gekocht, mit Suppengemüse;139;17,53;6,7;1,6;0,8
Wickelklöße;150;5,79;2,53;24,9;2,37
Hummer Thermidor (gratiniert mit Käse und Sauce);123;11;6,8;2,2;0,4
Rosenkohl gedünstet, mit Speck und Zwiebeln;128;3,44;11,2;1,8;2,8
Russische Sauce/Tomatenmayonnaise;320;5,8;30,4;4,91;0,4
Laugenbrötchen mit Butter;415;6,862;26,424;36;2,676
Krakauer Schinkenwurst;116;17,98;4,94;0;0,05
Grießauflauf mit Apfel;121;3,3;5,7;13,4;1,1
Tomaten mit Käse-Kräuterfüllung, gebacken;141;4,9;8,53;10,16;1,6
Müsli ungesüßt, mit Joghurt 3,5 % Fett und Fruchtmischung;117;5,03;4,3;12,7;2,4
Hering gegart, mit Meerrettichsauce von heller/weißer Grundsauce;137;12,7;8,6;1,96;0,3
Kichererbsensnack gebacken;231;8,9;10,5;17;16,3
Kohlroulade mit Reis-Schinkenfüllung, gedünstet;113;4,8;6,6;7,5;1,9
Wildsuppe mit Rehfleisch, Speck und Rotwein;75;7,92;3,8;1,94;0,14
Reispfannkuchen gebraten, mit Kompott;188;5,1;8,3;22,7;1,4
Gemüsesauce von heller/weißer Grundsauce;44;1,18;2,2;3,9;1,7
Weißer Presskopf;141;21,42;6,14;0,1;0,06
Rotbarschauflauf mit Kartoffeln und Spinat;159;8,8;10,73;6,3;1
Johannisbeergelee mit Schlagsahne;82;2,3;3;9,87;0,3
Seezungenfilet gedünstet, in Weißweinsauce von heller/weißer Grundsauce;89;13,14;3,3;1,07;0,06
Berliner/Pfannkuchen/Krapfen (Hefeteig) frittiert, gefüllt mit Pflaumenmus;321;6,3;13,7;41,8;2,6
Champignon Konserve, abgetropft;43;5,518;0,818;3,23;2,536
Schwartenmagen;139;17,9;7,4;0,16;0,09
Croissant (Hefeblätterteig/Plunderteig) gefüllt mit Marzipan;444;7,8;25,6;44;2,77
Zwiebelkuchen schwäbisch, mit Speck;180;5,7;9,4;17;1,8
Suppe aus Eierteigwaren mit Hühnerfleisch;56;4,6;2,8;2,89;0,2
Frühlingsrollen vegetarisch gefüllt mit Gemüse, frittiert;280;6,2;14,6;28,8;4,1
Blumenkohlsalat (roh) mit Saure-Sahne-Dressing;46;2,48;1,4;5,4;2,5
Spiegelei gebacken, auf gedünstetem Spinat mit Tomaten;133;6,51;10,79;1,55;1,5
Pfirsich-Maracujanektarschorle;22;0,2;0;5,13;0
Kabeljaufilet gedünstet, mit Zitronenbutter und Sauce;218;14;17,6;0,46;0,1
Türkische Pizza (Lahmacun) ungefüllt;218;9,7;9,4;22;2,6
Biersuppe Berliner Art;53;1,3;1,5;7;1
Rollmops Konserve, abgetropft;99;8;4,426;5,62;0,19
Süßkirsche ungesüßt, Konserve, abgetropft;54;0,909;0,244;11,47;1,3
Lachs-Spinat-Auflauf;175;14,2;12,4;1,2;0,5
Kopfsalat mit Zitronenmarinade;149;1,03;14,8;1,8;1
Fruchtsalat exotisch, gesüßt;69;0,8;0,3;14,2;1,6
Pfannkuchen/Eierkuchen, gebraten, gefüllt mit gedünsteten Pilzen und saurer Sahne;192;6,29;10,4;17,4;2,2
Königsberger Klopse;192;16,49;12,2;3,64;0,5
Schweinshaxe geschmort, mit Sauce;230;21,59;15,2;1,5;0,5
Bayrische Bierwurst/Bierwurst Ia;275;13,34;24,61;0;0,06
Fischburger mit Seelachs;200;12,3;8,2;18,33;1,4
Kaninchenbraten mit Grundsauce dunkel/braun mit Sahne;174;21,2;9,5;0,88;0,05
Seelachsroulade mit Speckfüllung gebacken, mit Sauce;171;16,2;10,8;1,6;0,5
Speiseeis (Frucht, Schoko, Vanille) gemischt;184;2,1;6,93;27,3;1,1
Schupfnudeln schwäbisch, gekocht;165;6,02;2,08;29,42;2,28
Sahne-Windbeutel (Brandmasse) mit Kirschen;207;3,68;12,9;18,5;0,7
Eier pochiert, mit Meerrettichmayonnaise;273;10,2;25,24;1;0,3
Rote Grütze mit Vanillesauce;95;2,1;1,8;16,2;1,8
Blätterkrokant überzogen mit Vollmilchschokolade;422;3,49;16,8;63,4;1,52
Gemüsemischung asiatische Art, tiefgefroren, gedünstet;30;2,1;0,3;3,7;2
Frikadellen gebraten;269;18,65;19,48;4,45;0,5
Cabanossi gebrüht;193;15,26;14,61;0,04;0,02
Rinderragout mit Pilzen;161;16,7;9,1;2,37;1,4
Zuger Kirschtorte (Biskuit und Nussboden) mit Alkohol;307;5,8;17,1;27,5;1,1
Fürst-Pückler-Eis;276;5;20;18,3;1,1
Kartoffelsalat mit Marinade (Gemüsebrühe);83;1,52;3;11,42;1,5
Kochsalami;141;16,98;8,1;0;0,05
Schichtsalat mit Gemüse, Früchten, Käse, Eiern, Schinken und Mayonnaise mit Zitronensaft;216;7,4;18;5;1,5
Kapernsauce von heller/weißer Grundsauce;82;1,4;6,9;3,39;0,28
Spritzgebäck (Rührmasse) schokoliert;507;6,6;30,4;49,8;3,75
Auberginen-Tomaten-Paprikagemüse geschmort;143;1,59;10,7;7,9;3,2
Sauerkrautsalat (roh) mit Apfel, Paprika, Speck und Saure-Sahne-Dressing;52;1,67;1,7;4,9;2,9
Knuspermüslimischung mit Schokolade, gesüßt;421;8,9;15,1;56,8;7,5
Heringssalat mit Roter Bete, Apfel, Gewürzgurke und Mayonnaise, gestreckt mit saurer Sahne;157;6,1;12,1;4,7;0,9
Remouladensauce, gestreckt mit saurer Sahne;288;4,5;28,7;2,5;0,3
Pizzabaguette mit Tomaten und Käse überbacken;260;13,9;12,8;21;1,9
Aal grün (Aal pochiert, in Kräutersauce);208;9,3;18;1,97;0,2
Omelett gebraten, gefüllt mit blanchiertem Gemüse und Kochschinken;136;10,1;8,49;3,82;1,8
Wiener Backhendl (Hähnchen im Backteig gebraten);311;18,26;24,2;4,55;0,4
Gemüse mit Käsesauce überbacken;100;3,7;7,5;3,8;1,7
Vollkorn-Eier-Frischteigwaren mit Tomatensauce von heller/weißer Grundsauce;91;3,9;2,3;12,4;2,5
Rettichsalat mit Saure-Sahne-Dressing;39;1,4;1,8;3,4;1
Gemüsesalat (gegart) mit Joghurtmarinade;47;2,18;2,02;4;2,1
Eierteigwaren mit Tomatensauce (aus frischen Tomaten);129;4,5;4,46;16,99;1,3
Kalbshaxe gebraten im Ofen, mit Grundsauce dunkel/braun;137;18,84;6,1;1,3;0,6
Rinderleber gebraten, mit Rotweinsauce;122;11,46;5;7,34;0,3
Baiser-Eistorte;277;3,9;6,9;49,6;0,5
Feldsalat mit Zitronenmarinade;128;1,43;12,8;0,7;1,5
Krakauer/Kochpolnische;238;15,8;19,4;0;0,06
Cheeseburger;202;10,6;9,1;18,1;1,5
Kalbsherz geschmort, mit Sahnesauce;149;11,88;9,5;3,3;1,1
Fischgulasch mit Seelachs ungarische Art;86;7,1;4,2;4,2;1,1
Birne in Fruchtsaft, Konserve, abgetropft;54;0,436;0,354;11,3;2,8
Cabanossi (Brühwürstchen);192;15,23;14,57;0;0,07
Speiseeis (Frucht, Nuss, Schoko, Vanille) gemischt;199;2,42;8,4;27,3;1,3
Grüne Grütze;54;0,5;0,1;11,7;1,4
Touristenwurst einfach, gebrüht;213;16,33;16,34;0;0,07
Berliner/Pfannkuchen/Krapfen (Hefeteig) frittiert, gefüllt mit Pudding;296;6,7;14;34,8;2,2
Blumenkohl gedünstet, mit Semmelbröseln;99;2,8;6,05;7,88;3
Lachs im Blätterteig gebacken;229;12;15,9;8,88;0,8
Eisbergsalat mit Zitronenmarinade;72;0,8;6,4;1,71;1,6
Rind Roastbeef (Rücken) mariniert, gegrillt;172;25,14;6,7;2,28;0,21
Spargelauflauf;164;6;13,9;3;0,7
Apfel ungesüßt, Konserve, abgetropft;36;0,426;0,521;6,2;2,041
Krakauer Schinkenwurst Konserve;116;17,98;4,94;0;0,05
Mousselinesauce;350;4;36,1;2,115;0,005
Sauerkrautsalat (roh) mit Apfel, Paprika, gebratenem Speck und Essigmarinade;70;1,5;3,83;4,5;3
Weiße-Bohnen-Suppe mit Fleischwursteinlage;98;4,45;5,6;6;2,4
Teigwaren eifrei, in Öl geschwenkt, mit gekochtem Broccoli und Sardellen;140;5;5;17,7;1,9
Fruchtgelee mit Fruchtstückchen und Schlagsahne;117;2,2;4,7;14,6;0,8
Rotbarschauflauf;201;10;13,5;9,4;0,7
Rosenkohl Konserve, abgetropft;29;2,736;0,3;2,2;2,969
Kartoffelkroketten tiefgefroren, gebacken;257;5,77;13,24;27,22;2,99
Frühlingsrollen gefüllt mit Gemüse und Schweinefleisch, frittiert;292;11,1;14,3;28;3,6
Knuspermüslimischung mit Schokolade, gesüßt, angereichert mit Vitaminen und Mineralstoffen;421;8,9;15,1;56,8;7,5
Kabeljaufilet gefüllt, mit Grundsauce hell/weiß mit Sahne, gebacken;163;15,8;9,9;2,2;0,3
Pudding-Vollkornplunder belegt mit Früchten und Klarguss;322;6,1;18,6;30;4,9
Hamburger;190;10,01;7,31;19,72;1,7
Stachelbeerkaltschale gebunden mit Stärke;60;0,787;0,1;12,55;1,8
Haferflockenauflauf mit Kakao;169;6,1;9,31;14,4;1,728
Rührei gebraten mit Pfifferlingen und Speck;212;8,94;18,93;1,02;0,8
Risi-Pisi mit gebratenen Shrimps;110;7,4;1,598;15,3;2,1
Rind/Schwein, Frikadelle, gegrillt;260;19;18,06;5;0,7
Tellersülze mit Eisbein;52;6,85;2,22;0,5;0,3
Sauerkrautsalat (roh) mit Saure-Sahne-Dressing;56;1,34;2,1;5,1;2,8
Kartoffelschnee;96;1,99;2,06;16,7;1,36
Bratkartoffeln aus Pellkartoffeln, mit Zwiebeln;194;2,835;11,471;18,32;3,3
Himbeere gezuckert, Konserve, abgetropft;67;0,95;0,353;13,68;2
Aal mit Speck gebacken;361;17,9;31,9;0,18;0,01
Makrele im eigenen Saft, Konserve, abgetropft;114;13,8;6,54;0;0
Linsensuppe mit Gemüse;82;4,53;1,9;10;3,4
Käsepudding im Wasserbad gegart;239;12;13,5;16,8;1,11
Dominosteine;361;4;11,4;58,4;3,6
Kalbfleischklößchen gebraten im Ofen;227;23,72;12,9;3,75;0,4
Spanische Sauce (Salsa);100;0,88;9,1;2,7;1,1
Kalbsnieren sauer, gebraten, mit Sahnesauce von dunkler/brauner Grundsauce;165;13,45;11,1;2,31;0,2
Selleriescheiben im Backteig (mit Bier) frittiert;241;5,8;14,3;19,34;4,3
Hackfleisch-Paprikasauce;156;7,5;12,6;2,5;0,9
Fenchel paniert, gebraten;116;4,02;7,1;7,4;2,9
Kalbskotelett gegrillt, mit Basilikumbutter;207;22;13,2;0,1;0,1
Käsesahnetorte (Wasserbiskuit);222;7,2;12,7;19,1;0,25
Roggenvollkornknäckebrot mit Buttermilch;330;10,51;1,6;58,9;18,46
Vollkorn-Eier-Frischteigwaren mit Roquefortsauce;254;8,79;19,03;10,8;2,08
Fruchtsalat mit Chicoree und Saure-Sahne-Dressing;49;1,7;1,4;6,2;1,6
Fruchtsirup;249;0,6;0,1;59,97;0,2
Rührei gebraten mit Fleischwurst und Zwiebeln;212;12,23;17,65;0,94;0,3
Kalbsleberwurst grob, mit Schweinefleisch;227;14,5;18,3;1,02;0,1
Vanillebuttercreme gestreckt, für Gebäck/Torten;305;2,4;26,11;14,97;0,032
Schweinekamm geschmort, mit Grundsauce dunkel/braun;158;13,08;10,2;2,9;1,2
Apfel-Mohntorte (Mürbeteig);266;6,5;17,4;18,8;3,9
Berner Würstel gebraten;281;15,7;24,12;0,16;0,03
Apfelkompott mit Rosinen und Rum;56;0,4;0,3;11;1,5
Rinderrauchfleisch gekocht, in Sahnesauce von dunkler/brauner Grundsauce;119;13,62;5,9;2,81;0,18
Gemüsecremesuppe aus Instantpulver (mit Wasser zubereitet);34;0,75;0,3;6,7;0,6
Zwiebelkuchen mit Speck (Hefeteig);179;5,54;8;20;2
Kartoffelrösti tiefgefroren, frittiert;291;3,13;13,234;38,6;2,5
Teigwaren eifrei, mit Tomatensauce (aus frischen Tomaten) mit Sardellen;135;4,3;4,4;18,73;1,4
Birnen gekocht, mit Schokoladensauce;90;1,82;2,3;15;2
Gefüllter Schweinekamm gebraten ohne Fett (Ofen);195;21;11,5;1,8;0,4
Brathering mariniert, abgetropft;211;15,1;13,5;6,76;0,52
Bratapfel gefüllt gebacken, mit Vanillesauce;157;2,3;7,4;18,9;1,8
Pilzsuppe;39;1,6;2,6;1,6;1,5
Flunder paniert, gebraten;173;15,2;9,4;6,09;0,54
Knoblauch gesäuert, abgetropft;122;7,29;0,507;3;36,409
Döner Kebab, Fladenbrot gefüllt mit Grillfleisch (Geflügel), Rohkost und Sauce;199;13,08;7,9;18;1,6
Cocktail, Bloody Mary;42;0,25;0,02;0,98;0,26
Maultaschen Schwäbische Art (mit Hackfleisch) gegart;132;10,4;6,02;8,032;2,2
Kasseler, Rohpökelware, geräuchert, paniert, gebraten ohne Fett (Pfanne);152;22,63;3,36;7,53;0,61
Rinderfiletsteak gebraten, mit Sauce;166;18,68;9,5;1,49;0,1
Eier-Frischteigwaren Ravioli (Gemüsefüllung) gekocht;141;4,99;2,08;24,5;2
Cumberlandsauce mit Rot- und Portwein;97;0,6;0,2;16,4;0,9
Erdbeerkompott mit Süßstoff;41;0,845;0,365;6,883;1,9
Schinkenbrätterrine mit Alkohol, gebacken;243;16,5;18;2,1;0,4
Holländische Kirsch-Sahneschnitten/Kirsch-Sahnetorte (Blätterteig);287;2,8;19,2;25,2;0,8
Pizzabaguette mit Gemüse und Schafskäse überbacken;221;9,4;10,8;20;1,9
Schinkenkartoffeln mit saurer Sahne und Käse überbacken;201;8,5;13,1;11,8;0,9
Lachs gebraten, in Grundsauce hell/weiß mit Sahne;193;13,52;14,7;1,63;0,07
Rinderherz gekocht, mit Kräutersauce von heller/weißer Grundsauce;135;14,57;7,7;1,68;0,09
Presswurst;203;21,73;12,66;0,48;0,2
Forelle paniert, gebraten;235;19,87;14;6,38;0,57
Weißkraut-Eintopf mit Hammelfleisch;119;4,5;8,4;5,1;2,3
Hühnerragout mit Gemüse;75;9,3;2,3;3,7;1,4
Kürbis-Kartoffelpüree mit Milch 1,5 % Fett;78;2,15;2,66;10,75;0,963
Auflauf aus Eier-Frischteigwaren mit Sahne-Käsesauce und Chester überbacken;285;9,9;18,26;19,21;1,54
Tomatensauce aus frischen Tomaten und Frischkäse;145;2,35;12,77;4,24;1,1
Kürbis gebacken, in Tomatensauce (aus Tomatenmark);80;1;5,4;5,3;3
Flockentorte (Brandmasse und Mürbeteig);240;4;13,6;24,9;0,9
Jagdwurst/Schinkenwurst grob, gebraten ohne Fett (Pfanne);212;16,298;16,315;0,09;0,05
Linsen-Eintopf mit Suppengemüse und Eier-Frischteigwaren Spätzle;133;7,51;2,3;17,4;5,7
Gemüsesalat (gegart) mit Essigmarinade;95;1,64;7,76;3,4;2,2
Gartenbohne reif, Konserve, abgetropft;130;9,0383;0,597;17,72;7,136
Aioli;692;2,3;75,1;0,7;1,4
Auberginensalat (gegart) mit Zitronenmarinade;166;0,96;15,3;4,5;2
Zwiebackauflauf mit Apfel;168;4,5;6,4;22,1;1,4
Birne ungesüßt, Konserve, abgetropft;35;0,301;0,303;7,01;2,6
Seelachs paniert, tiefgefroren, frittiert;257;16,85;13,52;16,38;1,15
Dampfnudeln salzig gebraten;333;6,49;16,2;39;2,44
Brotsuppe (Schwarzbrot) mit Fleischbrühe, Gemüse und Speck;68;1,53;4,3;4,8;1,5
Frikadellen gefüllt mit Schafskäse, gebraten;286;18,67;21,67;3,55;0,4
Gemüsemischung mexikanische Art, gedünstet;64;3,6;0,5;8,5;4,8
Müsli gesüßt, mit Sojadrink und Fruchtmischung;138;5,03;3,7;18,9;4,2
Haselnusscreme abgeschlagen (mit Gelatine);180;7,5;11,32;11,55;0,8
Berliner/Pfannkuchen/Krapfen (Hefeteig) frittiert, gefüllt mit Eierlikörcreme;294;6,6;13,7;34,5;2,1
Kuchenboden (Mürbeteig) belegt mit Früchten, Pudding und Klarguss;159;3;6,4;20,9;2
Heringssauce aus Kräutersauce von heller/weißer Grundsauce;124;6,2;9,7;2,51;0,13
Tintenfisch in Öl, Konserve, abgetropft;166;13,47;12,4;0;0
Meeresfrüchte in Öl, Konserve, abgetropft;133;13,99;8,4;0;0
Lammfleischklößchen mit Curry in Tomatensauce (aus Tomatenmark);113;7,6;7,3;3,8;0,7
Reibekuchen rheinisch gebraten, mit Apfelmus und Preiselbeeren;175;3,1;9,2;19,2;1,6
Kartoffelsalat mit Speck und Marinade (Gemüsebrühe);95;2,76;3,6;11,85;1,6
Teigwaren eifrei, gebraten mit Kochwurst und Eiern;191;9,6;9,43;16,33;0,9
Tutti-Frutti;162;4,6;7,43;18,5;0,7
Pfannkuchen/Eierkuchen, gebraten, gefüllt mit gedünstetem Mischgemüse;143;4,6;6,7;14,8;2,3
Grießflammeri/Grießpudding, mit Ei und Kirschsaft;103;4;3,45;13,9;0,3
Pasteten (Blätterteig) mit Himbeersahne;315;3;22,82;22,3;2,8
Debreziner Würstchen;192;15,25;14,6;0;0,02
Pökelrinderbrust gekocht, mit Meerrettichsauce von heller/weißer Grundsauce;146;11,52;9,7;2,99;0,42
Fränkische Mehlklöße;218;9,61;3,57;35,41;2,7
Russische Creme (mit Alkohol) mit Schlagsahne;205;3,9;11,1;19,99;0,03
Champignon-Weißweinsauce von dunkler/brauner Grundsauce;62;1,5;3,5;4,6;1
Pilzragout von Champignons, überbacken;202;11,09;16,4;2,6;1
Linsen gekocht, in Grundsauce hell/weiß;85;5,56;1,2;10,8;4,3
Jagdwurst/Schinkenwurst grob, gebraten ohne Fett (Ofen);206;15,783;15,8;0,08;0,05
Quarkmayonnaise;214;5,9;19,4;3,13;0,1
Mischpilze tiefgefroren, gedünstet;60;6,2;0,6;3,82;8,99
Eier-Frischteigwaren Spätzle mit Käse (Käsespätzle);155;8;5,84;16,6;1,6
Schwertfischsalat mit Senfmarinade;122;10,66;7,9;1,2;0,4
Wurzelpetersilie gedünstet, in Grundsauce hell/weiß mit Sahne;100;2,16;5,9;8,6;1,6
Sahne-Windbeutel (Brandmasse);293;6,44;21,31;18,39;0,96
Curry-Sahnesauce mit Früchten;138;1,7;11,7;6;0,6
Apfelschnee mit Rum;61;1,5;0,344;10,7;1,551
Steinpilze gedünstet, in Grundsauce hell/weiß mit Sahne;92;5,73;4,9;4,27;5,96
Germknödel;287;7,13;9,7;41;3,33
Mehrfruchtnektar mit Süßungsmitteln;22;0,2;0;5,36;0,2
Seelachsfilet gedünstet, in Weißweinsauce von heller/weißer Grundsauce mit Sahne;121;12,3;6,9;1,6;0,31
Milchreispudding mit Mandeln und Sultaninen;195;5,9;9,2;21,6;1
Rindersteak gegrillt, mit Kräuterbutter;229;26,1;13,8;0,07;0,13
Semmelknödel gekocht, gebacken;162;7,33;4,22;22,94;1,6
Kartoffelküchlein mit Käse gebraten;247;7;14,36;21,15;2,28
Tatarensauce;260;4,9;25,4;2,3;0,4
Apfel-Selleriesalat mit Zitronenmarinade;176;1,72;15,7;5,2;2,4
Gemüsemischung gesäuert (Puszta Salat) abgetropft;43;0,803;0,213;7,59;1,9
Rinderzungenragout mit Champignons;130;9,07;9;3;0,5
Hecht gebraten im Ofen badische Art;124;14,7;6,5;1,4;0,2
Speiseeis (Frucht-Joghurt, Joghurt) gemischt;116;3,6;2,3;19,48;0,2
Schwarz-Weiß-Buttercremetorte (Wasserbiskuit);283;5,8;10,9;39,4;1,43
Wurstkuchen mit Mürbeteig, mit Alkohol, gebacken;329;14;23,17;15,2;1,09
Paprikasauce von Bechamelsauce;87;2,46;6,1;5,34;0,22
Nuss-Plunder;530;9,86;34,5;43;3,7
Apfelküchlein gebraten, mit Vanillesauce;174;3,6;8,36;20,2;1,64
Blumenkohl mit Hackfleischfüllung und Käse überbacken;127;9,4;8;4,05;1,3
Mohn-Plunder;445;10,59;23,5;45;5,26
Tafelspitz gekocht, mit Meerrettichsauce von heller/weißer Grundsauce;126;15,07;6,3;2,07;0,4
Speiseeis (Frucht, Nuss) gemischt, in Waffeltüte;202;2,41;7,51;30;1,3
Lasagnette (Teigwaren) mit Ricotta und Tomaten mit Spinat gedünstet;138;6,76;6,93;11,3;1,2
Wildente geschmort, mit Speck und Grundsauce dunkel/braun;292;19,2;23,3;1,43;0,11
Gerauchte Schinkenwurst;181;15,54;13,18;0,09;0,04
Schweinenierengeschnetzeltes sauer, mit Grundsauce dunkel/braun;229;13,96;18;2,3;0,3
Champignonsauce von heller/weißer Grundsauce, mit Sahne und Weißwein;79;1,9;6,1;3,7;0,8
Kaisergemüse gedünstet, in Grundsauce hell/weiß mit Sahne;78;2,18;5,2;4,6;2,2
Fenchelsalat (roh) mit Zitronenmarinade;113;1,12;10,2;2,83;2,6
Pute gefüllt, gebraten im Ofen, mit Grundsauce dunkel/braun;179;15,66;11,4;3,32;0,3
Kuchenboden (Rührmasse) belegt mit Früchten, Pudding und Klarguss;139;3,1;4,7;19,7;1,8
Aprikose gezuckert, Konserve, abgetropft;69;0,5;0,1;15,452;1,143
Kartoffel-Speck-Rösti tiefgefroren, frittiert;308;6,03;16,56;32,6;2,1
Leberpudding mit Hackfleisch;189;15,79;10,33;8;0,4
Champignon gegrillt, in Öl, Konserve, abgetropft;322;5,2;31,439;4,5;2,9
Eierschecke (Hefeteig);256;7,8;12,2;28,1;1
Apfelkompott mit Karamellsauce;76;1,3;1,6;13,4;0,937
Kabeljaufilet paniert, gebraten;180;17,5;8,9;6,61;0,59
Müsli gesüßt, mit Milch 3,5 % Fett und Fruchtmischung;154;5,17;4,5;21,2;3,5
Gemüsesuppe italienisch (Minestrone);44;2,2;1,8;4;1,3
Müsli gesüßt, mit Joghurt 3,5 % Fett und Fruchtmischung;125;4,85;4,1;15,3;2,3
Reis Trauttmansdorff;144;3,2;4,7;22;0,8
Blumenkohlauflauf;86;4,9;5,1;4,92;1,3
Döner Kebab, Fladenbrot gefüllt mit Grillfleisch (Kalb/Rind), Rohkost und Sauce;177;11,2;5,3;20;1,7
Kalbsgeschnetzeltes Zürcher Art;119;12;6,8;1,8;0,5
Teigwaren eifrei, mit Pesto verde;222;5,7;11,5;23,2;1,6
Mehrfruchtsaftschorle;22;0,2;0;5,36;0,2
Schweinebauch gekocht, mit Sauerkraut mit Apfel gedünstet;140;7,92;10,47;1,9;1,7
Lachs Konserve, abgetropft;165;21,1;8,93;0;0
Pudding-Vollkornplunder;302;6,3;15,73;32;3,26
Kartoffel-Schupfnudeln gekocht;133;4,42;1,05;25,4;2,26
Selleriegemüse gekocht, in Grundsauce hell/weiß mit Sahne;65;1,37;4,7;2,77;2,7
Schinkenfleckerl (Auflauf aus Eier-Frischteigwaren mit Kochschinken und saurer Sahne);204;11,48;8,6;19,4;1,48
Hackfleisch-Reisfüllung (für Gemüse) gedünstet;240;12,97;15,87;11,1;0,4
Speiseeis (Frucht, Nuss) gemischt;184;1,85;6,47;28,6;1,2
Eierteigwaren mit Tomatensauce (aus Tomatenmark) mit Speck;189;4,8;11,5;16;1
Rotbarschauflauf mit Gemüse;100;8;6,4;2,3;1
Artischocke Konserve, abgetropft;44;2,424;0,122;2,3;11,641
Wirsing Konserve, abgetropft;26;2,121;0,244;2,7;2,3
Ananaskompott mit Süßstoff;39;0,4;0,1;7,9;1,2
Quarkauflauf mit Apfel;131;4,7;6,2;13,5;0,8
Hecht paniert, gebraten;184;18;9,1;6,61;0,59
Heidelbeere ungesüßt, Konserve, abgetropft;20;0,3;0,318;2,61;2,1
Bratwurst gebraten, in Biersauce;154;6,8;12,9;2;0,2
Pfefferschote gesäuert, abgetropft;53;1,8;0,3;9,16;1,5
Flocken-Sahnetorte (Brandmasse und Mürbeteig);250;5,4;14,4;23,9;1,1
Brotsuppe (Schwarzbrot) mit Rosinen, Apfel und saurer Sahne;76;1,4;2,4;11,3;1,2
Fleischbrühe mit Markklößchen;59;1,77;4;3,78;0,3
Erbsenpüree von Trockenerbsen;77;4,45;2,26;7,5;4,5
Endiviensalat mit Saure-Sahne-Dressing;60;1,97;4;3,1;0,8
Schuhsohlen (Blätterteig) mit Mokkasahne;432;3,8;35,7;23,1;1,4
Grünkohl gedünstet, mit Speck;103;4,75;6,68;3,3;5,1
Chicoree gedünstet, mit Butter;84;1,612;7,8;1;0,9
Rindfleischsülze mit Schwarten;166;23,49;7,86;0,29;0,1
Wildpastete mit Hasenfleisch;126;16,7;6,58;0,08;0,05
Speiseeis (Frucht, Kaffee, Nuss) gemischt, mit Eierlikör;193;2,9;7,3;25,1;0,7
Griechischer Bauernsalat;157;5,27;14;1,41;0,7
Hot Dog;231;9,61;13,28;17,15;1,7
